player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season
DeMar DeRozan,CHI,79.0,19.7,0.584,25.8,0.147,1.8,2.8,2023-24
Coby White,CHI,79.0,14.5,0.57,22.7,0.078,-0.7,0.9,2023-24
Paolo Banchero,ORL,80.0,17.3,0.546,29.7,0.09,1.3,2.3,2023-24
Dejounte Murray,ATL,78.0,17.7,0.555,26.6,0.084,1.7,2.6,2023-24
Anthony Edwards,MIN,79.0,19.7,0.575,32.3,0.13,3.3,3.7,2023-24
Nikola Jokic,DEN,79.0,31.0,0.65,29.3,0.299,13.2,10.6,2023-24
Jalen Brunson,NYK,77.0,23.4,0.592,32.5,0.198,5.8,5.4,2023-24
Anthony Davis,LAL,76.0,25.8,0.621,26.7,0.21,5.1,4.9,2023-24
Fred VanVleet,HOU,73.0,16.7,0.568,19.7,0.15,3.4,3.6,2023-24
DeAaron Fox,SAC,74.0,20.1,0.567,31.0,0.117,2.7,3.2,2023-24
Jayson Tatum,BOS,74.0,22.3,0.604,30.2,0.189,5.1,4.7,2023-24
Austin Reaves,LAL,82.0,15.5,0.613,20.3,0.108,0.4,1.6,2023-24
Tyrese Maxey,PHI,70.0,19.8,0.573,28.0,0.147,3.1,3.4,2023-24
Luka Doncic,DAL,70.0,28.1,0.617,36.0,0.22,9.9,8.0,2023-24
Nikola Vucevic,CHI,76.0,17.7,0.54,23.3,0.1,0.1,1.4,2023-24
Jalen Green,HOU,82.0,14.7,0.541,27.4,0.056,-0.5,1.0,2023-24
Rudy Gobert,MIN,76.0,19.3,0.675,15.4,0.216,1.8,2.5,2023-24
Keegan Murray,SAC,77.0,13.3,0.569,18.1,0.096,-0.9,0.8,2023-24
Miles Bridges,CHO,69.0,15.4,0.556,24.7,0.04,-1.1,0.6,2023-24
Damian Lillard,MIL,73.0,19.6,0.59,28.4,0.143,2.1,2.7,2023-24
Giannis Antetokounmpo,MIL,73.0,29.9,0.649,33.0,0.246,9.0,7.2,2023-24
Michael Porter Jr,DEN,81.0,15.5,0.601,20.7,0.115,0.1,1.3,2023-24
Shai GilgeousAlexander,OKC,75.0,29.3,0.636,32.8,0.275,9.0,7.1,2023-24
Grayson Allen,PHO,75.0,13.8,0.679,14.5,0.132,1.3,2.0,2023-24
LeBron James,LAL,71.0,23.7,0.63,29.2,0.164,6.5,5.4,2023-24
Paul George,LAC,74.0,19.3,0.613,26.6,0.14,3.2,3.3,2023-24
Devin Booker,PHO,68.0,21.9,0.611,29.8,0.181,3.0,3.1,2023-24
Jarrett Allen,CLE,77.0,21.8,0.664,19.4,0.21,3.0,3.1,2023-24
Jabari Smith Jr,HOU,76.0,13.8,0.571,17.6,0.111,-0.4,1.0,2023-24
Stephen Curry,GSW,74.0,20.6,0.616,31.3,0.142,5.2,4.4,2023-24
Bam Adebayo,MIA,71.0,19.8,0.576,24.9,0.144,2.4,2.7,2023-24
Chet Holmgren,OKC,82.0,20.4,0.632,21.6,0.178,3.4,3.3,2023-24
Brook Lopez,MIL,79.0,14.8,0.608,16.0,0.117,1.0,1.8,2023-24
Kentavious CaldwellPope,DEN,76.0,10.7,0.602,12.9,0.096,-1.4,0.4,2023-24
Bogdan Bogdanovic,ATL,79.0,14.7,0.569,22.3,0.079,0.2,1.4,2023-24
Brandon Miller,CHO,74.0,13.0,0.552,23.9,0.015,-2.6,-0.3,2023-24
Harrison Barnes,SAC,82.0,11.9,0.611,15.7,0.094,-1.8,0.1,2023-24
Tobias Harris,PHI,70.0,16.5,0.576,20.7,0.121,0.9,1.7,2023-24
Jordan Poole,WAS,78.0,12.1,0.529,26.4,-0.013,-3.9,-1.2,2023-24
Jaylen Brown,BOS,70.0,18.6,0.58,28.9,0.121,0.7,1.6,2023-24
Franz Wagner,ORL,72.0,17.6,0.575,25.7,0.131,1.2,1.9,2023-24
Kawhi Leonard,LAC,68.0,23.2,0.626,26.5,0.184,5.5,4.4,2023-24
Herbert Jones,NOP,76.0,13.2,0.636,14.1,0.131,0.6,1.6,2023-24
Aaron Gordon,DEN,73.0,16.8,0.607,17.8,0.148,1.3,1.9,2023-24
Klay Thompson,GSW,77.0,13.9,0.576,24.2,0.075,-0.4,0.9,2023-24
Kyle Kuzma,WAS,70.0,15.7,0.547,29.7,0.004,-1.1,0.5,2023-24
Jrue Holiday,BOS,69.0,14.4,0.597,16.3,0.133,2.1,2.4,2023-24
Deni Avdija,WAS,75.0,14.9,0.597,20.2,0.068,-0.9,0.6,2023-24
Devin Vassell,SAS,68.0,15.7,0.578,23.5,0.077,0.0,1.1,2023-24
Luguentz Dort,OKC,79.0,11.1,0.593,15.4,0.097,-1.6,0.2,2023-24
Max Strus,CLE,70.0,11.7,0.553,17.4,0.083,-0.6,0.8,2023-24
Dillon Brooks,HOU,72.0,9.4,0.549,17.6,0.058,-3.6,-0.9,2023-24
Jalen Williams,OKC,71.0,19.1,0.621,23.7,0.157,2.3,2.4,2023-24
Jaden Ivey,DET,77.0,12.4,0.536,24.9,0.01,-3.1,-0.6,2023-24
Ayo Dosunmu,CHI,76.0,13.4,0.604,17.2,0.089,-0.8,0.7,2023-24
Zion Williamson,NOP,70.0,22.8,0.61,29.7,0.164,3.8,3.3,2023-24
Jeremy Sochan,SAS,74.0,11.4,0.513,18.8,0.03,-3.4,-0.8,2023-24
Tre Jones,SAS,77.0,14.7,0.591,15.2,0.111,-0.4,0.9,2023-24
Jaren Jackson Jr,MEM,66.0,17.4,0.552,30.4,0.067,0.4,1.3,2023-24
Tim Hardaway Jr,DAL,79.0,12.1,0.542,22.6,0.05,-2.9,-0.5,2023-24
Nic Claxton,BRK,71.0,18.7,0.629,15.6,0.152,1.2,1.7,2023-24
Jaime Jaquez Jr,MIA,75.0,12.9,0.574,18.7,0.092,-1.9,0.1,2023-24
Taurean Prince,LAL,78.0,8.8,0.579,13.8,0.043,-2.8,-0.4,2023-24
Victor Wembanyama,SAS,71.0,23.1,0.565,32.2,0.085,5.2,3.8,2023-24
Jaden McDaniels,MIN,72.0,9.4,0.571,15.7,0.077,-2.6,-0.3,2023-24
Brandon Ingram,NOP,64.0,18.2,0.578,27.2,0.117,1.2,1.7,2023-24
Scottie Barnes,TOR,60.0,19.5,0.566,24.8,0.098,3.7,3.0,2023-24
Jusuf Nurkic,PHO,76.0,17.4,0.559,19.1,0.133,1.1,1.6,2023-24
Myles Turner,IND,77.0,19.3,0.626,23.4,0.134,0.9,1.5,2023-24
Cam Thomas,BRK,66.0,16.1,0.554,30.5,0.058,-1.2,0.4,2023-24
Collin Sexton,UTA,78.0,19.9,0.607,27.5,0.127,1.9,2.0,2023-24
Cade Cunningham,DET,62.0,17.1,0.546,30.8,0.041,0.3,1.2,2023-24
Corey Kispert,WAS,80.0,12.8,0.62,19.6,0.048,-2.1,-0.1,2023-24
Kelly Oubre Jr,PHI,68.0,13.5,0.535,22.4,0.07,-2.3,-0.1,2023-24
Alperen Sengun,HOU,63.0,22.0,0.585,27.0,0.163,4.9,3.5,2023-24
Jimmy Butler,MIA,60.0,22.0,0.626,24.0,0.214,4.6,3.4,2023-24
Alex Caruso,CHI,71.0,14.5,0.613,14.7,0.115,2.5,2.3,2023-24
Keldon Johnson,SAS,69.0,14.2,0.565,21.9,0.071,-1.7,0.2,2023-24
KarlAnthony Towns,MIN,62.0,18.8,0.625,27.4,0.148,2.5,2.3,2023-24
Jalen Suggs,ORL,75.0,14.1,0.602,19.7,0.112,1.0,1.5,2023-24
Keyonte George,UTA,75.0,10.4,0.533,22.8,-0.008,-4.4,-1.2,2023-24
Josh Giddey,OKC,80.0,16.6,0.547,23.1,0.102,1.5,1.8,2023-24
Bobby Portis,MIL,82.0,17.5,0.581,22.9,0.112,-0.8,0.6,2023-24
Aaron Nesmith,IND,72.0,12.8,0.631,16.0,0.098,-0.5,0.8,2023-24
Gary Trent Jr,TOR,71.0,12.0,0.548,20.0,0.04,-2.6,-0.3,2023-24
Brandin Podziemski,GSW,74.0,13.0,0.54,15.4,0.1,-0.1,0.9,2023-24
Naz Reid,MIN,81.0,16.0,0.595,23.1,0.12,1.5,1.7,2023-24
Jonathan Kuminga,GSW,74.0,17.0,0.598,24.1,0.113,-0.4,0.8,2023-24
Donovan Mitchell,CLE,55.0,22.1,0.595,31.4,0.159,5.8,3.9,2023-24
Trae Young,ATL,54.0,20.3,0.585,30.5,0.114,2.6,2.2,2023-24
Tyus Jones,WAS,66.0,16.5,0.578,16.3,0.113,0.7,1.3,2023-24
Jonas Valanciunas,NOP,82.0,19.8,0.619,20.8,0.177,1.2,1.6,2023-24
Andrew Wiggins,GSW,71.0,12.7,0.544,20.9,0.07,-2.5,-0.3,2023-24
Duncan Robinson,MIA,68.0,12.2,0.612,19.0,0.091,-0.9,0.6,2023-24
Darius Garland,CLE,57.0,14.5,0.56,25.3,0.067,-1.0,0.5,2023-24
John Collins,UTA,68.0,17.5,0.621,20.4,0.11,-0.9,0.5,2023-24
Isaiah Hartenstein,NYK,75.0,18.9,0.67,12.0,0.204,3.5,2.6,2023-24
Jalen Johnson,ATL,56.0,16.3,0.584,19.1,0.098,1.2,1.5,2023-24
