player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality
AJ Green,MIL,35.0,11.5,0.607,16.6,0.111,-0.9,0.1,2022-23,1631260.0,9.9,107.9,112.8,USA
AJ Green,MIL,56.0,10.5,0.617,15.2,0.084,-2.1,0.0,2023-24,1631260.0,11.0,114.0,110.5,USA
AJ Griffin,ATL,72.0,12.6,0.577,17.9,0.075,-0.8,0.4,2022-23,1631100.0,19.5,113.6,112.0,USA
AJ Griffin,ATL,20.0,1.2,0.382,17.3,-0.12,-9.6,-0.3,2023-24,1631100.0,8.5,106.0,120.1,USA
AJ Lawson,DAL,15.0,13.9,0.589,21.1,0.063,-4.4,-0.1,2022-23,1630639.0,7.2,96.3,116.4,Canada
AJ Lawson,DAL,42.0,11.2,0.519,20.0,0.036,-4.6,-0.2,2023-24,1630639.0,7.4,106.6,105.3,Canada
Aaron Gordon,DEN,75.0,15.3,0.602,19.7,0.105,-0.6,0.9,2021-22,203932.0,31.7,117.3,111.1,USA
Aaron Gordon,DEN,68.0,19.5,0.617,21.1,0.158,2.1,2.1,2022-23,203932.0,30.2,123.0,110.9,USA
Aaron Gordon,DEN,73.0,16.8,0.607,17.8,0.148,1.3,1.9,2023-24,203932.0,31.5,119.8,111.1,USA
Aaron Holiday,PHX,63.0,12.6,0.544,18.7,0.068,-1.7,0.1,2021-22,1628988.0,16.2,106.8,108.2,USA
Aaron Holiday,ATL,63.0,9.4,0.528,13.4,0.053,-2.0,0.0,2022-23,1628988.0,13.4,110.8,110.0,USA
Aaron Holiday,HOU,78.0,11.5,0.578,16.7,0.094,-1.5,0.2,2023-24,1628988.0,16.3,110.5,107.6,USA
Aaron Nesmith,BOS,52.0,7.3,0.507,17.2,0.038,-4.3,-0.3,2021-22,1630174.0,11.0,107.3,104.3,USA
Aaron Nesmith,IND,73.0,10.5,0.566,16.8,0.052,-3.0,-0.4,2022-23,1630174.0,24.9,113.8,118.5,USA
Aaron Nesmith,IND,72.0,12.8,0.631,16.0,0.098,-0.5,0.8,2023-24,1630174.0,27.7,119.3,115.0,USA
Aaron Wiggins,OKC,50.0,10.3,0.556,15.3,0.048,-4.3,-0.7,2021-22,1630598.0,24.2,104.5,112.6,USA
Aaron Wiggins,OKC,70.0,12.2,0.607,14.5,0.097,-2.1,0.0,2022-23,1630598.0,18.5,112.7,111.2,USA
Aaron Wiggins,OKC,78.0,15.6,0.664,16.4,0.144,0.7,0.8,2023-24,1630598.0,15.7,115.6,110.0,USA
Admiral Schofield,ORL,38.0,7.5,0.538,14.5,0.027,-5.4,-0.4,2021-22,1629678.0,12.3,100.3,113.8,United Kingdom
Admiral Schofield,ORL,37.0,10.1,0.587,14.1,0.089,-2.9,-0.1,2022-23,1629678.0,12.2,104.7,113.0,United Kingdom
Admiral Schofield,ORL,23.0,6.0,0.484,16.6,0.006,-4.9,-0.1,2023-24,1629678.0,3.7,90.4,95.6,United Kingdom
Al Horford,BOS,69.0,16.7,0.574,14.8,0.181,4.3,3.2,2021-22,201143.0,29.1,112.8,103.4,Dominican Republic
Al Horford,BOS,63.0,13.8,0.631,11.9,0.157,3.3,2.5,2022-23,201143.0,30.5,118.9,111.1,Dominican Republic
Al Horford,BOS,65.0,15.0,0.65,12.0,0.172,3.6,2.5,2023-24,201143.0,26.8,120.9,109.5,Dominican Republic
Alec Burks,NYK,81.0,13.7,0.559,17.7,0.126,0.8,1.7,2021-22,202692.0,28.6,110.3,108.1,USA
Alec Burks,DET,51.0,16.5,0.602,22.8,0.109,1.2,0.9,2022-23,202692.0,22.0,112.9,113.9,USA
Alec Burks,NYK,66.0,12.9,0.536,24.4,0.054,-2.3,-0.1,2023-24,202692.0,18.4,107.8,118.5,USA
Aleksej Pokusevski,OKC,61.0,12.0,0.485,20.0,0.014,-2.6,-0.2,2021-22,1630197.0,20.2,103.6,106.1,Serbia
Aleksej Pokusevski,OKC,34.0,13.4,0.522,18.3,0.066,0.0,0.3,2022-23,1630197.0,20.6,105.6,118.3,Serbia
Aleksej Pokusevski,CHA,28.0,12.7,0.525,17.2,0.05,-1.9,0.0,2023-24,1630197.0,14.5,103.5,113.2,Serbia
Alex Caruso,CHI,41.0,11.7,0.528,13.3,0.082,0.2,0.6,2021-22,1627936.0,28.0,110.5,105.5,USA
Alex Caruso,CHI,67.0,11.5,0.588,11.1,0.109,1.1,1.2,2022-23,1627936.0,23.5,112.6,106.5,USA
Alex Caruso,CHI,71.0,14.5,0.613,14.7,0.115,2.5,2.3,2023-24,1627936.0,28.7,110.9,110.6,USA
Alex Len,SAC,39.0,13.1,0.577,17.1,0.07,-2.9,-0.1,2021-22,203458.0,15.9,106.0,111.4,Ukraine
Alex Len,SAC,26.0,12.8,0.58,14.1,0.085,-4.0,-0.1,2022-23,203458.0,6.2,106.6,100.0,Ukraine
Alex Len,SAC,48.0,14.7,0.625,11.8,0.138,0.2,0.2,2023-24,203458.0,9.3,116.3,100.8,Ukraine
Alize Johnson,NOP,23.0,10.7,0.463,14.8,0.041,-5.5,-0.1,2021-22,1628993.0,7.3,105.1,115.7,USA
Alize Johnson,SAS,4.0,4.3,0.509,15.0,-0.099,-9.1,-0.1,2022-23,1628993.0,7.4,111.1,92.1,USA
Alondes Williams,BKN,1.0,-20.9,0.259,17.7,-0.517,-26.5,0.0,2022-23,1631214.0,5.3,83.3,136.4,USA
Alondes Williams,MIA,7.0,-7.9,0.296,29.1,-0.357,-23.2,-0.1,2023-24,1631214.0,2.2,57.9,110.5,USA
Alperen Sengun,HOU,72.0,16.0,0.552,22.0,0.068,-1.0,0.4,2021-22,1630578.0,20.7,106.4,116.6,Turkey
Alperen Sengun,HOU,75.0,19.7,0.599,21.4,0.115,1.4,1.9,2022-23,1630578.0,28.9,112.5,120.3,Turkey
Alperen Sengun,HOU,63.0,22.0,0.585,27.0,0.163,4.9,3.5,2023-24,1630578.0,32.5,113.9,113.2,Turkey
Amir Coffey,LAC,69.0,13.0,0.598,15.8,0.116,-0.3,0.7,2021-22,1629599.0,22.7,110.1,111.0,USA
Amir Coffey,LAC,50.0,7.0,0.498,13.5,0.033,-5.0,-0.5,2022-23,1629599.0,12.5,104.2,113.1,USA
Amir Coffey,LAC,70.0,10.0,0.604,12.5,0.084,-2.2,-0.1,2023-24,1629599.0,20.9,114.6,118.0,USA
Andre Drummond,BKN,73.0,21.0,0.574,19.0,0.17,1.3,1.2,2021-22,203083.0,19.7,112.2,109.8,USA
Andre Drummond,CHI,67.0,20.8,0.606,21.0,0.159,-0.8,0.3,2022-23,203083.0,12.7,108.7,106.0,USA
Andre Drummond,CHI,79.0,23.0,0.576,21.3,0.175,0.1,0.7,2023-24,203083.0,17.1,114.1,113.3,USA
Andre Iguodala,GSW,31.0,12.3,0.478,11.4,0.125,2.7,0.7,2021-22,2738.0,19.4,105.7,97.0,USA
Andre Iguodala,GSW,8.0,7.3,0.521,9.4,0.044,-2.5,0.0,2022-23,2738.0,14.1,116.7,104.7,USA
Andrew Nembhard,IND,75.0,10.0,0.528,16.1,0.029,-3.2,-0.6,2022-23,1629614.0,27.6,112.3,118.2,Canada
Andrew Nembhard,IND,68.0,11.3,0.573,16.0,0.057,-2.2,-0.1,2023-24,1629614.0,25.0,116.1,114.0,Canada
Andrew Wiggins,GSW,73.0,15.0,0.56,23.1,0.105,0.4,1.4,2021-22,203952.0,31.9,111.2,105.4,Canada
Andrew Wiggins,GSW,37.0,14.7,0.564,21.5,0.091,-0.5,0.5,2022-23,203952.0,32.2,116.2,110.9,Canada
Andrew Wiggins,GSW,71.0,12.7,0.544,20.9,0.07,-2.5,-0.3,2023-24,203952.0,27.0,114.9,116.3,Canada
Anfernee Simons,POR,57.0,15.3,0.583,24.8,0.055,-0.7,0.5,2021-22,1629014.0,29.5,110.5,112.9,USA
Anfernee Simons,POR,62.0,14.8,0.581,25.1,0.054,-1.1,0.5,2022-23,1629014.0,35.0,114.1,115.7,USA
Anfernee Simons,POR,46.0,15.9,0.568,28.0,0.068,0.2,0.8,2023-24,1629014.0,34.4,109.9,120.5,USA
Anthony Davis,LAL,40.0,23.9,0.578,27.1,0.155,3.8,2.0,2021-22,203076.0,35.1,105.9,108.9,USA
Anthony Davis,LAL,56.0,27.8,0.627,28.4,0.226,6.3,4.0,2022-23,203076.0,34.0,114.3,109.5,USA
Anthony Davis,LAL,76.0,25.8,0.621,26.7,0.21,5.1,4.9,2023-24,203076.0,35.5,116.5,114.0,USA
Anthony Edwards,MIN,72.0,16.5,0.56,26.4,0.084,1.2,2.0,2021-22,1630162.0,34.2,114.6,110.6,USA
Anthony Edwards,MIN,79.0,17.4,0.564,29.9,0.064,1.0,2.1,2022-23,1630162.0,36.0,113.8,111.9,USA
Anthony Edwards,MIN,79.0,19.7,0.575,32.3,0.13,3.3,3.7,2023-24,1630162.0,35.1,115.8,108.5,USA
Anthony Gill,WAS,44.0,14.7,0.682,14.4,0.14,-1.9,0.0,2021-22,1630264.0,10.5,114.7,108.9,USA
Anthony Gill,WAS,59.0,11.1,0.604,12.3,0.101,-3.3,-0.2,2022-23,1630264.0,10.6,109.5,110.4,USA
Anthony Gill,WAS,50.0,12.1,0.537,18.0,0.038,-4.1,-0.3,2023-24,1630264.0,9.3,113.3,112.1,USA
Anthony Lamb,GSW,62.0,10.9,0.61,13.8,0.096,-1.1,0.3,2022-23,1630237.0,19.3,112.5,110.8,USA
Armoni Brooks,TOR,54.0,8.4,0.483,16.4,0.014,-3.9,-0.4,2021-22,1629717.0,15.6,108.3,112.1,USA
Armoni Brooks,BKN,10.0,8.3,0.448,20.8,-0.018,-5.8,-0.1,2023-24,1629717.0,10.4,127.7,114.0,USA
Austin Reaves,LAL,61.0,11.5,0.6,12.4,0.097,-1.9,0.0,2021-22,1630559.0,23.2,110.8,109.0,USA
Austin Reaves,LAL,64.0,14.9,0.687,16.2,0.142,0.7,1.2,2022-23,1630559.0,28.8,115.4,110.5,USA
Austin Reaves,LAL,82.0,15.5,0.613,20.3,0.108,0.4,1.6,2023-24,1630559.0,32.1,114.6,115.6,USA
Austin Rivers,DEN,67.0,7.2,0.546,12.6,0.037,-3.8,-0.7,2021-22,203085.0,22.1,113.0,111.1,USA
Austin Rivers,MIN,52.0,7.4,0.564,10.5,0.061,-2.8,-0.2,2022-23,203085.0,19.5,109.8,114.8,USA
Ayo Dosunmu,CHI,77.0,11.2,0.596,14.1,0.069,-2.0,0.0,2021-22,1630245.0,27.4,109.1,114.1,USA
Ayo Dosunmu,CHI,80.0,10.2,0.567,14.9,0.067,-2.5,-0.2,2022-23,1630245.0,26.2,108.8,110.1,USA
Ayo Dosunmu,CHI,76.0,13.4,0.604,17.2,0.089,-0.8,0.7,2023-24,1630245.0,29.1,111.6,114.9,USA
Bam Adebayo,MIA,56.0,21.8,0.608,25.0,0.188,3.8,2.7,2021-22,1628389.0,32.6,113.1,104.9,USA
Bam Adebayo,MIA,75.0,20.1,0.592,25.2,0.137,1.5,2.3,2022-23,1628389.0,34.6,113.0,111.2,USA
Bam Adebayo,MIA,71.0,19.8,0.576,24.9,0.144,2.4,2.7,2023-24,1628389.0,34.0,110.1,109.3,USA
Ben Simmons,BKN,42.0,13.4,0.559,14.3,0.097,0.4,0.7,2022-23,1627732.0,26.3,114.7,112.5,Australia
Ben Simmons,BKN,15.0,16.3,0.571,13.0,0.133,2.4,0.4,2023-24,1627732.0,23.9,109.6,113.0,Australia
Bennedict Mathurin,IND,78.0,13.1,0.566,24.6,0.038,-3.7,-1.0,2022-23,1631097.0,28.5,111.5,115.8,Canada
Bennedict Mathurin,IND,59.0,13.0,0.562,23.4,0.045,-3.4,-0.6,2023-24,1631097.0,26.1,115.0,117.9,Canada
Bismack Biyombo,PHX,36.0,17.3,0.596,17.1,0.17,-1.3,0.1,2021-22,202687.0,14.1,111.8,106.2,Democratic Republic of the Congo
Bismack Biyombo,PHX,61.0,14.4,0.555,14.0,0.102,-0.9,0.2,2022-23,202687.0,14.3,112.7,109.7,Democratic Republic of the Congo
Bismack Biyombo,OKC,40.0,9.9,0.562,10.7,0.066,-3.4,-0.3,2023-24,202687.0,19.8,110.2,114.1,Democratic Republic of the Congo
Blake Griffin,BKN,56.0,13.7,0.518,16.9,0.106,-0.5,0.3,2021-22,201933.0,17.1,107.8,112.5,USA
Blake Griffin,BOS,41.0,13.1,0.59,12.7,0.153,0.1,0.3,2022-23,201933.0,13.9,116.5,106.6,USA
Blake Wesley,SAS,37.0,3.5,0.393,18.5,-0.114,-9.6,-1.3,2022-23,1631104.0,18.1,103.3,116.7,USA
Blake Wesley,SAS,61.0,10.1,0.537,14.7,0.05,-4.0,-0.4,2023-24,1631104.0,14.4,104.6,112.4,USA
Boban Marjanovic,DAL,23.0,18.5,0.615,33.3,0.045,-4.4,-0.1,2021-22,1626246.0,5.6,108.3,95.5,Serbia
Boban Marjanovic,HOU,31.0,23.4,0.71,20.8,0.158,1.6,0.2,2022-23,1626246.0,5.5,114.6,96.1,Serbia
Boban Marjanovic,HOU,14.0,21.1,0.56,27.0,0.128,-0.3,0.0,2023-24,1626246.0,5.1,101.9,115.3,Serbia
Bobby Portis,MIL,72.0,17.7,0.571,21.3,0.131,0.2,1.1,2021-22,1626171.0,28.2,114.7,108.5,USA
Bobby Portis,MIL,70.0,17.8,0.575,21.7,0.139,0.7,1.2,2022-23,1626171.0,26.0,111.8,112.0,USA
Bobby Portis,MIL,82.0,17.5,0.581,22.9,0.112,-0.8,0.6,2023-24,1626171.0,24.5,115.9,116.0,USA
Bogdan Bogdanovic,ATL,63.0,15.4,0.562,21.6,0.095,1.3,1.5,2021-22,203992.0,29.3,116.6,112.1,Serbia
Bogdan Bogdanovic,ATL,54.0,14.2,0.586,19.8,0.088,0.5,0.9,2022-23,203992.0,27.9,117.3,116.1,Serbia
Bogdan Bogdanovic,ATL,79.0,14.7,0.569,22.3,0.079,0.2,1.4,2023-24,203992.0,30.4,116.3,114.4,Serbia
Bojan Bogdanovic,UTA,69.0,15.7,0.599,23.7,0.118,0.0,1.1,2021-22,202711.0,30.9,116.2,111.4,Croatia
Bojan Bogdanovic,DET,59.0,17.4,0.627,25.9,0.09,0.8,1.4,2022-23,202711.0,32.1,111.3,119.5,Croatia
Bojan Bogdanovic,NYK,57.0,12.6,0.581,24.6,0.034,-3.2,-0.4,2023-24,202711.0,25.9,109.9,121.3,Croatia
Bol Bol,ORL,70.0,14.4,0.603,18.2,0.072,-0.9,0.4,2022-23,1629626.0,21.5,107.6,112.0,Sudan
Bol Bol,PHX,43.0,18.7,0.7,16.5,0.168,2.1,0.5,2023-24,1629626.0,10.9,108.9,108.8,Sudan
Bones Hyland,DEN,69.0,14.4,0.558,23.8,0.088,-0.4,0.5,2021-22,1630538.0,19.0,113.4,111.7,USA
Bones Hyland,LAC,56.0,14.9,0.535,28.0,0.062,-0.8,0.3,2022-23,1630538.0,19.4,112.7,118.0,USA
Bones Hyland,LAC,37.0,10.8,0.49,24.8,0.003,-3.6,-0.2,2023-24,1630538.0,14.6,105.5,111.5,USA
