player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Aaron Gordon,DEN,75,15.3,0.602,19.7,0.105,-0.6,0.9,2021-22,203932,31.7,117.3,111.1,USA,USA,3,0.4597
Aaron Gordon,DEN,68,19.5,0.617,21.1,0.158,2.1,2.1,2022-23,203932,30.2,123.0,110.9,USA,USA,3,0.541
Aaron Gordon,DEN,73,16.8,0.607,17.8,0.148,1.3,1.9,2023-24,203932,31.5,119.8,111.1,USA,USA,3,0.4981
Aaron Holiday,PHX,63,12.6,0.544,18.7,0.068,-1.7,0.1,2021-22,1628988,16.2,106.8,108.2,USA,USA,2,0.3182
Aaron Holiday,HOU,78,11.5,0.578,16.7,0.094,-1.5,0.2,2023-24,1628988,16.3,110.5,107.6,USA,USA,2,0.339
Aaron Nesmith,IND,73,10.5,0.566,16.8,0.052,-3.0,-0.4,2022-23,1630174,24.9,113.8,118.5,USA,USA,2,0.4712
Aaron Nesmith,IND,72,12.8,0.631,16.0,0.098,-0.5,0.8,2023-24,1630174,27.7,119.3,115.0,USA,USA,2,0.5095
Aaron Wiggins,OKC,50,10.3,0.556,15.3,0.048,-4.3,-0.7,2021-22,1630598,24.2,104.5,112.6,USA,USA,3,0.3311
Aaron Wiggins,OKC,70,12.2,0.607,14.5,0.097,-2.1,0.0,2022-23,1630598,18.5,112.7,111.2,USA,USA,3,0.4001
Aaron Wiggins,OKC,78,15.6,0.664,16.4,0.144,0.7,0.8,2023-24,1630598,15.7,115.6,110.0,USA,USA,3,0.4663
Al Horford,BOS,69,16.7,0.574,14.8,0.181,4.3,3.2,2021-22,201143,29.1,112.8,103.4,Dominican Republic,International,3,0.3694
Al Horford,BOS,63,13.8,0.631,11.9,0.157,3.3,2.5,2022-23,201143,30.5,118.9,111.1,Dominican Republic,International,3,0.4878
Al Horford,BOS,65,15.0,0.65,12.0,0.172,3.6,2.5,2023-24,201143,26.8,120.9,109.5,Dominican Republic,International,3,0.4922
Alec Burks,NYK,81,13.7,0.559,17.7,0.126,0.8,1.7,2021-22,202692,28.6,110.3,108.1,USA,USA,3,0.3766
Alec Burks,DET,51,16.5,0.602,22.8,0.109,1.2,0.9,2022-23,202692,22.0,112.9,113.9,USA,USA,3,0.5004
Alec Burks,NYK,66,12.9,0.536,24.4,0.054,-2.3,-0.1,2023-24,202692,18.4,107.8,118.5,USA,USA,3,0.472
Alex Caruso,CHI,41,11.7,0.528,13.3,0.082,0.2,0.6,2021-22,1627936,28.0,110.5,105.5,USA,USA,3,0.2857
Alex Caruso,CHI,67,11.5,0.588,11.1,0.109,1.1,1.2,2022-23,1627936,23.5,112.6,106.5,USA,USA,3,0.3389
Alex Caruso,CHI,71,14.5,0.613,14.7,0.115,2.5,2.3,2023-24,1627936,28.7,110.9,110.6,USA,USA,3,0.4323
Alperen Sengun,HOU,72,16.0,0.552,22.0,0.068,-1.0,0.4,2021-22,1630578,20.7,106.4,116.6,Turkey,International,3,0.4594
Alperen Sengun,HOU,75,19.7,0.599,21.4,0.115,1.4,1.9,2022-23,1630578,28.9,112.5,120.3,Turkey,International,3,0.5977
Alperen Sengun,HOU,63,22.0,0.585,27.0,0.163,4.9,3.5,2023-24,1630578,32.5,113.9,113.2,Turkey,International,3,0.5688
