player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score,rank
Aaron Gordon,DEN,75.0,15.3,0.602,19.7,0.105,-0.6,0.9,2021-22,203932.0,31.7,117.3,111.1,USA,USA,3,0.6371069357972313,78
Aaron Gordon,DEN,68.0,19.5,0.617,21.1,0.158,2.1,2.1,2022-23,203932.0,30.2,123.0,110.9,USA,USA,3,0.6767573400476847,40
Aaron Gordon,DEN,73.0,16.8,0.607,17.8,0.148,1.3,1.9,2023-24,203932.0,31.5,119.8,111.1,USA,USA,3,0.6525013390664188,91
Aaron Holiday,PHX,63.0,12.6,0.544,18.7,0.068,-1.7,0.1,2021-22,1628988.0,16.2,106.8,108.2,USA,USA,2,0.585708921942145,210
Aaron Holiday,ATL,63.0,9.4,0.528,13.4,0.053,-2.0,0.0,2022-23,1628988.0,13.4,110.8,110.0,USA,USA,2,0.5684484945961419,277
Aaron Holiday,HOU,78.0,11.5,0.578,16.7,0.094,-1.5,0.2,2023-24,1628988.0,16.3,110.5,107.6,USA,USA,2,0.5904525602068468,226
Aaron Nesmith,BOS,52.0,7.3,0.507,17.2,0.038,-4.3,-0.3,2021-22,1630174.0,11.0,107.3,104.3,USA,USA,2,0.5454387867330339,263
Aaron Nesmith,IND,73.0,10.5,0.566,16.8,0.052,-3.0,-0.4,2022-23,1630174.0,24.9,113.8,118.5,USA,USA,2,0.6126768524718084,187
Aaron Nesmith,IND,72.0,12.8,0.631,16.0,0.098,-0.5,0.8,2023-24,1630174.0,27.7,119.3,115.0,USA,USA,2,0.6385095741816893,117
Aaron Wiggins,OKC,50.0,10.3,0.556,15.3,0.048,-4.3,-0.7,2021-22,1630598.0,24.2,104.5,112.6,USA,USA,3,0.5708959268253602,242
Aaron Wiggins,OKC,70.0,12.2,0.607,14.5,0.097,-2.1,0.0,2022-23,1630598.0,18.5,112.7,111.2,USA,USA,3,0.6006004166145773,223
Aaron Wiggins,OKC,78.0,15.6,0.664,16.4,0.144,0.7,0.8,2023-24,1630598.0,15.7,115.6,110.0,USA,USA,3,0.6371509602281522,121
Al Horford,BOS,69.0,16.7,0.574,14.8,0.181,4.3,3.2,2021-22,201143.0,29.1,112.8,103.4,Dominican Republic,International,3,0.6221533339736504,113
Al Horford,BOS,63.0,13.8,0.631,11.9,0.157,3.3,2.5,2022-23,201143.0,30.5,118.9,111.1,Dominican Republic,International,3,0.6390498117506913,126
Al Horford,BOS,65.0,15.0,0.65,12.0,0.172,3.6,2.5,2023-24,201143.0,26.8,120.9,109.5,Dominican Republic,International,3,0.6445405213604822,105
Alec Burks,NYK,81.0,13.7,0.559,17.7,0.126,0.8,1.7,2021-22,202692.0,28.6,110.3,108.1,USA,USA,3,0.6130827773182036,147
Alec Burks,DET,51.0,16.5,0.602,22.8,0.109,1.2,0.9,2022-23,202692.0,22.0,112.9,113.9,USA,USA,3,0.6549267291279575,77
Alec Burks,NYK,66.0,12.9,0.536,24.4,0.054,-2.3,-0.1,2023-24,202692.0,18.4,107.8,118.5,USA,USA,3,0.6321351536435509,132
Alex Caruso,CHI,41.0,11.7,0.528,13.3,0.082,0.2,0.6,2021-22,1627936.0,28.0,110.5,105.5,USA,USA,3,0.568845418423336,247
Alex Caruso,CHI,67.0,11.5,0.588,11.1,0.109,1.1,1.2,2022-23,1627936.0,23.5,112.6,106.5,USA,USA,3,0.5854034717879575,250
Alex Caruso,CHI,71.0,14.5,0.613,14.7,0.115,2.5,2.3,2023-24,1627936.0,28.7,110.9,110.6,USA,USA,3,0.6259600432857932,146
Alperen Sengun,HOU,72.0,16.0,0.552,22.0,0.068,-1.0,0.4,2021-22,1630578.0,20.7,106.4,116.6,Turkey,International,3,0.6307065719922108,96
Alperen Sengun,HOU,75.0,19.7,0.599,21.4,0.115,1.4,1.9,2022-23,1630578.0,28.9,112.5,120.3,Turkey,International,3,0.680851986296918,37
Alperen Sengun,HOU,63.0,22.0,0.585,27.0,0.163,4.9,3.5,2023-24,1630578.0,32.5,113.9,113.2,Turkey,International,3,0.7038822949918911,23
Amir Coffey,LAC,69.0,13.0,0.598,15.8,0.116,-0.3,0.7,2021-22,1629599.0,22.7,110.1,111.0,USA,USA,2,0.6105351883724727,157
Amir Coffey,LAC,50.0,7.0,0.498,13.5,0.033,-5.0,-0.5,2022-23,1629599.0,12.5,104.2,113.1,USA,USA,2,0.5502920339499173,282
Amir Coffey,LAC,70.0,10.0,0.604,12.5,0.084,-2.2,-0.1,2023-24,1629599.0,20.9,114.6,118.0,USA,USA,2,0.6106033664073959,179
Andre Drummond,BKN,73.0,21.0,0.574,19.0,0.17,1.3,1.2,2021-22,203083.0,19.7,112.2,109.8,USA,USA,2,0.6416546590439672,73
Andre Drummond,CHI,67.0,20.8,0.606,21.0,0.159,-0.8,0.3,2022-23,203083.0,12.7,108.7,106.0,USA,USA,2,0.626229644568487,153
Andre Drummond,CHI,79.0,23.0,0.576,21.3,0.175,0.1,0.7,2023-24,203083.0,17.1,114.1,113.3,USA,USA,2,0.6612677953201861,69
Andrew Nembhard,IND,75.0,10.0,0.528,16.1,0.029,-3.2,-0.6,2022-23,1629614.0,27.6,112.3,118.2,Canada,International,2,0.595963468922787,238
Andrew Nembhard,IND,68.0,11.3,0.573,16.0,0.057,-2.2,-0.1,2023-24,1629614.0,25.0,116.1,114.0,Canada,International,2,0.605778890855163,192
Andrew Wiggins,GSW,73.0,15.0,0.56,23.1,0.105,0.4,1.4,2021-22,203952.0,31.9,111.2,105.4,Canada,International,2,0.6209197091849712,118
Andrew Wiggins,GSW,37.0,14.7,0.564,21.5,0.091,-0.5,0.5,2022-23,203952.0,32.2,116.2,110.9,Canada,International,2,0.6298379149149459,143
Andrew Wiggins,GSW,71.0,12.7,0.544,20.9,0.07,-2.5,-0.3,2023-24,203952.0,27.0,114.9,116.3,Canada,International,2,0.6250114842319889,150
Anfernee Simons,POR,57.0,15.3,0.583,24.8,0.055,-0.7,0.5,2021-22,1629014.0,29.5,110.5,112.9,USA,USA,3,0.6377287100517091,76
Anfernee Simons,POR,62.0,14.8,0.581,25.1,0.054,-1.1,0.5,2022-23,1629014.0,35.0,114.1,115.7,USA,USA,3,0.6502634266357701,86
Anfernee Simons,POR,46.0,15.9,0.568,28.0,0.068,0.2,0.8,2023-24,1629014.0,34.4,109.9,120.5,USA,USA,3,0.6741093471803747,50
Anthony Davis,LAL,40.0,23.9,0.578,27.1,0.155,3.8,2.0,2021-22,203076.0,35.1,105.9,108.9,USA,USA,2,0.6694129292822782,33
Anthony Davis,LAL,56.0,27.8,0.627,28.4,0.226,6.3,4.0,2022-23,203076.0,34.0,114.3,109.5,USA,USA,2,0.7271138531670115,14
Anthony Davis,LAL,76.0,25.8,0.621,26.7,0.21,5.1,4.9,2023-24,203076.0,35.5,116.5,114.0,USA,USA,2,0.7359937811316934,9
Anthony Edwards,MIN,72.0,16.5,0.56,26.4,0.084,1.2,2.0,2021-22,1630162.0,34.2,114.6,110.6,USA,USA,3,0.6567368713624577,53
Anthony Edwards,MIN,79.0,17.4,0.564,29.9,0.064,1.0,2.1,2022-23,1630162.0,36.0,113.8,111.9,USA,USA,3,0.6708457796103681,49
Anthony Edwards,MIN,79.0,19.7,0.575,32.3,0.13,3.3,3.7,2023-24,1630162.0,35.1,115.8,108.5,USA,USA,3,0.6996002688994019,28
Austin Reaves,LAL,61.0,11.5,0.6,12.4,0.097,-1.9,0.0,2021-22,1630559.0,23.2,110.8,109.0,USA,USA,3,0.5825507859005988,221
Austin Reaves,LAL,64.0,14.9,0.687,16.2,0.142,0.7,1.2,2022-23,1630559.0,28.8,115.4,110.5,USA,USA,3,0.6426300293915281,112
Austin Reaves,LAL,82.0,15.5,0.613,20.3,0.108,0.4,1.6,2023-24,1630559.0,32.1,114.6,115.6,USA,USA,3,0.6574897764063977,75
Austin Rivers,DEN,67.0,7.2,0.546,12.6,0.037,-3.8,-0.7,2021-22,203085.0,22.1,113.0,111.1,USA,USA,2,0.5620995107100619,253
Austin Rivers,MIN,52.0,7.4,0.564,10.5,0.061,-2.8,-0.2,2022-23,203085.0,19.5,109.8,114.8,USA,USA,2,0.5729855526021657,273
Ayo Dosunmu,CHI,77.0,11.2,0.596,14.1,0.069,-2.0,0.0,2021-22,1630245.0,27.4,109.1,114.1,USA,USA,3,0.5961855214447362,193
Ayo Dosunmu,CHI,80.0,10.2,0.567,14.9,0.067,-2.5,-0.2,2022-23,1630245.0,26.2,108.8,110.1,USA,USA,3,0.5781238795979932,263
Ayo Dosunmu,CHI,76.0,13.4,0.604,17.2,0.089,-0.8,0.7,2023-24,1630245.0,29.1,111.6,114.9,USA,USA,3,0.6260490006035466,144
Bam Adebayo,MIA,56.0,21.8,0.608,25.0,0.188,3.8,2.7,2021-22,1628389.0,32.6,113.1,104.9,USA,USA,3,0.6709323285814864,28
Bam Adebayo,MIA,75.0,20.1,0.592,25.2,0.137,1.5,2.3,2022-23,1628389.0,34.6,113.0,111.2,USA,USA,3,0.6722777217007642,47
