player_id,player,team,games_played,min,off_rating,def_rating,season
1630639,A.J. Lawson,DAL,42,7.4,106.6,105.3,2023-24
1631260,AJ Green,MIL,56,11.0,114.0,110.5,2023-24
1631100,AJ Griffin,ATL,20,8.5,106.0,120.1,2023-24
203932,Aaron Gordon,DEN,73,31.5,119.8,111.1,2023-24
1628988,Aaron Holiday,HOU,78,16.3,110.5,107.6,2023-24
1630174,Aaron Nesmith,IND,72,27.7,119.3,115.0,2023-24
1630598,Aaron Wiggins,OKC,78,15.7,115.6,110.0,2023-24
1641745,Adam Flagler,OKC,2,7.0,109.7,109.7,2023-24
1641766,Adama Sanogo,CHI,9,7.3,115.3,93.6,2023-24
1629678,Admiral Schofield,ORL,23,3.7,90.4,95.6,2023-24
201143,Al Horford,BOS,65,26.8,120.9,109.5,2023-24
202692,Alec Burks,NYK,66,18.4,107.8,118.5,2023-24
1630197,Aleksej Pokusevski,CHA,28,14.5,103.5,113.2,2023-24
1627936,Alex Caruso,CHI,71,28.7,110.9,110.6,2023-24
1641788,Alex Fudge,DAL,6,6.7,81.8,129.1,2023-24
203458,Alex Len,SAC,48,9.3,116.3,100.8,2023-24
1631214,Alondes Williams,MIA,7,2.2,57.9,110.5,2023-24
1630578,Alperen Sengun,HOU,63,32.5,113.9,113.2,2023-24
1641735,Amari Bailey,CHA,10,6.5,111.4,106.0,2023-24
1641708,Amen Thompson,HOU,62,22.4,111.4,109.3,2023-24
1629599,Amir Coffey,LAC,70,20.9,114.6,118.0,2023-24
203083,Andre Drummond,CHI,79,17.1,114.1,113.3,2023-24
1641748,Andre Jackson Jr.,MIL,57,10.0,112.3,119.6,2023-24
1641847,Andrew Funk,CHI,5,2.7,110.3,93.3,2023-24
1629614,Andrew Nembhard,IND,68,25.0,116.1,114.0,2023-24
203952,Andrew Wiggins,GSW,71,27.0,114.9,116.3,2023-24
1629014,Anfernee Simons,POR,46,34.4,109.9,120.5,2023-24
1641710,Anthony Black,ORL,69,16.9,108.0,108.9,2023-24
203076,Anthony Davis,LAL,76,35.5,116.5,114.0,2023-24
1630162,Anthony Edwards,MIN,79,35.1,115.8,108.5,2023-24
1630264,Anthony Gill,WAS,50,9.3,113.3,112.1,2023-24
1629717,Armoni Brooks,BKN,10,10.4,127.7,114.0,2023-24
1630204,Ashton Hagans,POR,19,16.6,105.3,106.5,2023-24
1641709,Ausar Thompson,DET,63,25.1,107.7,113.1,2023-24
1630559,Austin Reaves,LAL,82,32.1,114.6,115.6,2023-24
1630245,Ayo Dosunmu,CHI,76,29.1,111.6,114.9,2023-24
1628389,Bam Adebayo,MIA,71,34.0,110.1,109.3,2023-24
1641767,Ben Sheppard,IND,57,14.3,118.8,114.2,2023-24
1627732,Ben Simmons,BKN,15,23.9,109.6,113.0,2023-24
1631097,Bennedict Mathurin,IND,59,26.1,115.0,117.9,2023-24
1641731,Bilal Coulibaly,WAS,63,27.2,107.4,118.4,2023-24
202687,Bismack Biyombo,OKC,40,19.8,110.2,114.1,2023-24
1631104,Blake Wesley,SAS,61,14.4,104.6,112.4,2023-24
1626246,Boban Marjanović,HOU,14,5.1,101.9,115.3,2023-24
1626171,Bobby Portis,MIL,82,24.5,115.9,116.0,2023-24
203992,Bogdan Bogdanović,ATL,79,30.4,116.3,114.4,2023-24
