player_id,nationality
1630208,Jamaica
1630209,Turkey
1630210,USA
1630214,USA
1630215,USA
1630216,USA
1630217,USA
1630218,USA
1630219,USA
1630222,USA
1630224,USA
1630225,USA
1630227,USA
1630228,DRC
1630230,USA
1630231,USA
1630233,USA
1630235,USA
1630237,USA
1630238,USA
1630240,USA
1630241,USA
1626145,USA
1630243,USA
1626144,Democratic Republic of the Congo
1630245,USA
1626149,USA
1626147,USA
1626153,USA
1630249,Czech Republic
1630250,Montenegro
1626156,USA
1626157,USA
1626158,USA
1626159,USA
1630256,USA
200752,USA
1626162,USA
1630259,USA
1626164,USA
1626163,USA
1626166,USA
1626167,USA
1630264,USA
1626168,Canada
1626169,USA
1626171,USA
1626172,USA
1630267,Argentina
1626174,USA
1628221,USA
200768,USA
1630270,USA
1630271,USA
1626179,USA
1630273,USA
1626181,USA
1630278,USA
1630284,USA
1630285,USA
200782,USA
1628238,USA
1630288,USA
1626192,USA
1630286,USA
1626195,Spain
1626196,USA
1630296,USA
200794,USA
1626204,USA
1629056,USA
1626208,USA
1630306,USA
1630311,USA
1630314,USA
1626220,USA
1626224,Turkey
1630322,USA
1626246,Serbia
1630346,USA
1631101,Canada
1631102,USA
1629067,Germany
2207,USA
1631106,USA
1631113,USA
202954,USA
1628365,USA
1628366,USA
1628367,USA
1628368,USA
1628369,USA
1628370,USA
1628371,USA
1628372,USA
1628373,France
1628374,Finland
1628378,USA
1628379,USA
1628380,USA
1628381,USA
1628382,USA
1628384,United Kingdom
1628385,USA
1628386,USA
1628389,USA
1628391,USA
1628392,Germany
1628395,USA
1628396,USA
1628398,USA
1628400,USA
1628401,USA
1628402,USA
1628404,USA
1628408,USA
1628410,USA
1628411,USA
1628415,Canada
1628416,USA
1628418,USA
1628419,USA
1628420,USA
1630466,Argentina
1628422,USA
1628424,USA
1628425,USA
1628426,Bulgaria
1628427,Slovenia
1628432,USA
1628435,USA
1628436,USA
1628449,Saint Lucia
1628464,Germany
1628467,Germany
201961,USA
1628470,USA
1628476,USA
1630525,USA
1630526,USA
1630527,USA
1630528,USA
1630529,USA
1630530,USA
1630531,USA
203076,USA
1630532,Germany
203078,USA
1630535,USA
1630534,USA
1630537,Dominican Republic
1630538,USA
203083,USA
203081,USA
203084,USA
1630540,USA
1630543,USA
1630541,USA
1630544,USA
203085,USA
1630547,USA
1630548,USA
1630549,USA
1630550,USA
203095,France
1630552,USA
1630551,USA
1630554,USA
1630553,USA
1630556,USA
1630557,USA
1630558,USA
1630559,USA
1630560,Japan
1630561,USA
1630562,USA
1630563,Canada
1630564,USA
203109,USA
203110,USA
1630567,USA
1630568,USA
1630565,USA
203114,USA
1630570,USA
1630572,Georgia
1630573,USA
203115,USA
1630575,USA
1630577,USA
1630578,Turkey
1630579,USA
201566,USA
1630581,Australia
1630580,USA
1630583,Spain
1630582,France
1628537,USA
1630586,Spain
1630587,USA
1630585,USA
1630589,USA
1630590,USA
1630591,USA
1630592,USA
1630593,USA
1628539,Canada
1630595,USA
1630596,USA
1630598,USA
1630600,USA
203145,USA
1630602,USA
201571,USA
1630604,USA
1630605,USA
1630606,USA
1630608,France
1630610,USA
1630611,Brazil
1630612,USA
1630613,Germany
1630618,USA
1630620,USA
1630622,USA
1630624,USA
1630625,Canada
1630631,USA
1630637,USA
1630639,Canada
1628591,USA
1630641,Senegal
1630640,USA
1630643,USA
1630644,USA
200765,USA
201142,USA
201143,Dominican Republic
1630647,Nigeria
201145,USA
201144,USA
1630649,USA
1630648,USA
203200,USA
201152,USA
1630658,USA
204025,USA
203210,USA
1630678,USA
1630686,Greece
1630688,USA
1630691,USA
1630692,USA
1630693,Colombia
1630695,USA
1630696,USA
1630698,Canada
1630699,USA
1630700,Australia
1630701,USA
1630702,USA
1630703,USA
2544,USA
2546,USA
1630758,USA
2617,USA
1630787,USA
1630792,USA
203648,Greece
1628778,USA
1629164,USA
1630846,France
203658,Antigua and Barbuda
2730,USA
2738,USA
203457,USA
203458,Ukraine
203463,USA
203468,USA
203469,USA
203471,Germany
1630929,Estonia
203473,USA
203476,Senegal
2772,USA
203482,Canada
203484,USA
203486,USA
203487,USA
203488,USA
203490,USA
203493,USA
203496,USA
203497,France
203500,New Zealand
203501,USA
203503,USA
203504,USA
203506,USA
203507,Greece
101108,USA
203516,USA
203521,Australia
203524,USA
203526,Brazil
1630994,Denmark
101139,USA
101150,USA
1628960,USA
203552,USA
1628962,Nigeria
1628963,USA
1628964,USA
1628966,USA
1628969,USA
1628970,USA
1628971,USA
1628972,USA
1628973,USA
1628975,USA
1628976,USA
1628977,USA
1628978,USA
1628981,Angola
1628982,USA
1628983,Canada
1628984,USA
1628988,USA
1628989,USA
1628990,USA
1628991,USA
1628993,USA
203585,USA
1628995,USA
1628994,USA
1628997,USA
1628998,USA
1629001,USA
1629002,USA
1629003,USA
1629004,Ukraine
1629005,USA
1629006,Nigeria
1629007,USA
1629008,USA
1629010,USA
1629011,USA
1629012,USA
1629013,USA
1629014,USA
1629018,USA
1629020,USA
201565,USA
1629022,USA
201567,USA
201568,Italy
201569,USA
1629026,USA
1629021,Germany
201572,USA
1629028,Bahamas
1629029,Slovenia
1629023,USA
1629027,USA
201577,USA
1629033,USA
1629035,USA
201580,USA
201586,Democratic Republic of the Congo
201587,France
201588,USA
1631093,USA
1631094,USA
1631095,USA
1631096,USA
1631097,Canada
1631098,USA
1629048,Georgia
1631100,USA
1631099,USA
1629052,Canada
201599,USA
1631104,USA
1631105,USA
1631103,USA
1631107,Serbia
1631108,USA
1631109,USA
1631110,Poland
1629057,USA
1631112,USA
1629060,Japan
1631114,USA
1631115,USA
1631116,USA
1631117,USA
1631111,USA
1631119,USA
1631120,USA
1631121,USA
201609,Slovenia
1631123,USA
1631124,USA
1629076,USA
1631128,USA
1631131,DRC
1631132,Cameroon
1631133,USA
1629083,Lithuania
1629103,USA
1631157,USA
1629109,USA
1629111,Australia
1631159,Canada
1631160,USA
1631165,USA
1629117,South Sudan
1631167,USA
1631169,USA
1631170,USA
1631172,France
1631173,USA
1629126,USA
1629130,USA
1629134,USA
1629139,Japan
1631197,USA
1629150,USA
1631199,USA
1631200,USA
1631204,USA
1631205,USA
1631207,USA
1631209,USA
1629162,USA
1631210,USA
1631212,USA
1631211,USA
1631214,USA
1631213,USA
1631216,Canada
1631217,France
1631218,USA
1631219,USA
1631220,USA
1631221,USA
1631222,USA
1631223,USA
1629168,USA
1631230,USA
1629185,USA
1631241,USA
1631243,Senegal
1631245,USA
1631246,USA
1631250,USA
1629203,USA
1631254,USA
1631257,USA
1631260,USA
1631262,USA
1629216,USA
203816,USA
1629232,USA
1629234,USA
1631288,USA
1631298,Australia
1631303,USA
1631306,USA
1631309,USA
1631311,USA
1631320,Nigeria
1631321,France
1631323,Italy
1631338,USA
203897,USA
1629308,USA
203901,USA
1629309,USA
203903,USA
1629312,USA
1631367,USA
203914,USA
203915,USA
203917,Canada
203918,USA
1631376,Ukraine
203920,Canada
203924,USA
203925,USA
203926,USA
1631386,USA
203932,USA
203933,USA
203935,USA
203937,USA
203939,Canada
203943,USA
203944,USA
1641645,Australia
203952,Canada
203953,USA
203954,Cameroon
203957,Australia
203967,Croatia
201933,USA
201935,USA
201937,Spain
201939,USA
201942,USA
203991,Switzerland
203992,Serbia
203994,Bosnia and Herzegovina
203995,Serbia
201949,USA
201950,USA
203999,Serbia
204001,Latvia
201954,USA
201959,USA
1641705,France
1641706,USA
1631466,USA
1641708,USA
1641709,USA
1641710,USA
1641711,USA
1641712,France
1641713,USA
1641707,USA
1641715,USA
1641716,USA
1641717,USA
1641718,USA
204020,USA
1641720,USA
1641721,USA
1641722,USA
1641723,USA
201980,USA
1641724,USA
1641726,USA
1641727,USA
201976,USA
1641729,USA
1641730,USA
1641731,France
1641732,USA
1641733,USA
1641734,USA
1641735,USA
201988,Australia
1631495,USA
1641738,USA
1641739,Belgium
204038,USA
1641741,USA
1641745,USA
1641748,USA
1641749,USA
