player,player_url,flag_url
AJ Lawson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630639.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
AJ Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631260.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
AJ Griffin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631100.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Holiday,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Nesmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Wiggins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630598.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Admiral Schofield,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629678.png,
Al Horford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,
Alec Burks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aleksej Pokusevski,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630197.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Alex Caruso,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Alex Len,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png,https://www.worldometers.info//img/flags/small/tn_up-flag.gif
Alondes Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631214.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Alperen Sengun,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630578.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
Amir Coffey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Andre Drummond,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Andrew Nembhard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629614.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Andrew Wiggins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Anfernee Simons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Davis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Edwards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Gill,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630264.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Armoni Brooks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629717.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Austin Reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ayo Dosunmu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630245.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bam Adebayo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ben Simmons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627732.png,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Bennedict Mathurin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631097.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Bismack Biyombo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png,
Blake Wesley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631104.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Boban Marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Bobby Portis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626171.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bogdan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Bojan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Bol Bol,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629626.png,
Bones Hyland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630538.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bradley Beal,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Boston Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630527.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Brandon Ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630314.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Braxton Key,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630296.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
