player,headshot_url,flag_url
AJ Lawson,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aj_lawson.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
AJ Green,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aj_green.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
AJ Griffin,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aj_griffin.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Gordon,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aaron_gordon.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Holiday,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aaron_holiday.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Nesmith,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aaron_nesmith.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Wiggins,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aaron_wiggins.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Admiral Schofield,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/admiral_schofield.png,
Al Horford,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/al_horford.png,
Alec Burks,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/alec_burks.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aleksej Pokusevski,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/aleksej_pokusevski.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Alex Caruso,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/alex_caruso.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Alex Len,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/alex_len.png,https://www.worldometers.info//img/flags/small/tn_up-flag.gif
Alondes Williams,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/alondes_williams.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Alperen Sengun,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/alperen_sengun.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
Amir Coffey,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/amir_coffey.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Andre Drummond,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/andre_drummond.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Andrew Nembhard,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/andrew_nembhard.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Andrew Wiggins,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/andrew_wiggins.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Anfernee Simons,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/anfernee_simons.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Davis,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/anthony_davis.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Edwards,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/anthony_edwards.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Anthony Gill,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/anthony_gill.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Armoni Brooks,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/armoni_brooks.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Austin Reaves,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/austin_reaves.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ayo Dosunmu,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/ayo_dosunmu.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bam Adebayo,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bam_adebayo.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ben Simmons,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/ben_simmons.png,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Bennedict Mathurin,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bennedict_mathurin.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Bismack Biyombo,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bismack_biyombo.png,
Blake Wesley,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/blake_wesley.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Boban Marjanovic,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/boban_marjanovic.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Bobby Portis,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bobby_portis.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bogdan Bogdanovic,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bogdan_bogdanovic.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Bojan Bogdanovic,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bojan_bogdanovic.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Bol Bol,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bol_bol.png,
Bones Hyland,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bones_hyland.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bradley Beal,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bradley_beal.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Boston Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/brandon_boston_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Clarke,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/brandon_clarke.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Brandon Ingram,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/brandon_ingram.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Williams,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/brandon_williams.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Braxton Key,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/braxton_key.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brook Lopez,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/brook_lopez.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bruce Brown,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bruce_brown.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bruno Fernando,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bruno_fernando.png,https://www.worldometers.info//img/flags/small/tn_ao-flag.gif
Bryce McGowens,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/bryce_mcgowens.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Buddy Boeheim,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/buddy_boeheim.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Buddy Hield,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/buddy_hield.png,
CJ McCollum,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cj_mccollum.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cade Cunningham,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cade_cunningham.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Caleb Houstan,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/caleb_houstan.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Caleb Martin,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/caleb_martin.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cam Reddish,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cam_reddish.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cam Thomas,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cam_thomas.png,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Cameron Johnson,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cameron_johnson.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cameron Payne,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cameron_payne.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Caris LeVert,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/caris_levert.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cedi Osman,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cedi_osman.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
Charles Bassey,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/charles_bassey.png,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
Charlie Brown Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/charlie_brown_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Chimezie Metu,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/chimezie_metu.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Chris Boucher,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/chris_boucher.png,https://www.worldometers.info//img/flags/small/tn_st-flag.gif
